5.00000,-1.485
5.00007,-1.490
5.00013,-1.482
5.00020,-1.485
5.00027,-1.488
5.00033,-1.489
5.00040,-1.481
5.00047,-1.483
5.00053,-1.487
5.00060,-1.492
5.00067,-1.498
5.00073,-1.537
5.00080,-1.588
5.00087,-1.602
5.00093,-1.513
5.00100,-1.358
5.00107,-1.070
5.00113,-0.787
5.00120,-0.504
5.00127,-0.312
5.00133,-0.208
5.00140,-0.478
5.00147,-0.849
5.00153,-1.208
5.00160,-1.444
5.00167,-1.591
5.00173,-1.674
5.00180,-1.739
5.00187,-1.747
5.00193,-1.706
5.00200,-1.677
5.00207,-1.631
5.00213,-1.569
5.00220,-1.529
5.00227,-1.497
5.00233,-1.487
5.00240,-1.486
5.00247,-1.480
5.00253,-1.479
5.00260,-1.473
5.00267,-1.468
5.00273,-1.463
5.00280,-1.460
5.00287,-1.454
5.00293,-1.454
5.00300,-1.453
5.00307,-1.456
5.00313,-1.449
5.00320,-1.446
5.00327,-1.449
5.00333,-1.443
5.00340,-1.443
5.00347,-1.432
5.00353,-1.439
5.00360,-1.440
5.00367,-1.435
5.00373,-1.426
5.00380,-1.426
5.00387,-1.424
5.00393,-1.417
5.00400,-1.406
5.00407,-1.401
5.00413,-1.396
5.00420,-1.391
5.00427,-1.377
5.00433,-1.371
5.00440,-1.363
5.00447,-1.359
5.00453,-1.345
5.00460,-1.335
5.00467,-1.325
5.00473,-1.313
5.00480,-1.293
5.00487,-1.273
5.00493,-1.259
5.00500,-1.241
5.00507,-1.220
5.00513,-1.192
5.00520,-1.182
5.00527,-1.168
5.00533,-1.151
5.00540,-1.128
5.00547,-1.113
5.00553,-1.100
5.00560,-1.092
5.00567,-1.086
5.00573,-1.086
5.00580,-1.085
5.00587,-1.094
5.00593,-1.107
5.00600,-1.129
5.00607,-1.157
5.00613,-1.188
5.00620,-1.202
5.00627,-1.239
5.00633,-1.274
5.00640,-1.306
5.00647,-1.332
5.00653,-1.354
5.00660,-1.377
5.00667,-1.396
5.00673,-1.413
5.00680,-1.416
5.00687,-1.432
5.00693,-1.440
5.00700,-1.447
5.00707,-1.443
5.00713,-1.449
5.00720,-1.456
5.00727,-1.455
5.00733,-1.454
5.00740,-1.463
5.00747,-1.464
5.00753,-1.465
5.00760,-1.460
5.00767,-1.464
5.00773,-1.465
5.00780,-1.469
5.00787,-1.463
5.00793,-1.463
5.00800,-1.462
5.00807,-1.466
5.00813,-1.462
5.00820,-1.462
5.00827,-1.466
5.00833,-1.472
5.00840,-1.470
5.00847,-1.460
5.00853,-1.468
5.00860,-1.471
5.00867,-1.471
5.00873,-1.464
5.00880,-1.465
5.00887,-1.465
5.00893,-1.466
5.00900,-1.460
5.00907,-1.468
5.00913,-1.469
5.00920,-1.474
5.00927,-1.468
5.00933,-1.473
5.00940,-1.472
5.00947,-1.478
